# 盲审第二轮判读（**已作废**，仅存档）
#
# 作废原因：判读规格（round2/SPEC-FOR-JUDGE.md）是从 taxonomy.md 直接截 §一+§二 生成的，
# 把算法实现规则一起带进去了。判读理由里出现「按『无关键词证据不得定案』排除 sk-0164」、
# 「A14 属弱证据」——判读者在用算法自己的判据，一致率会虚高。
# 第三轮（round3/）已把关键词列、弱证据列、算法规则全部剔除，以那一轮为准。
sk-1200 A10
sk-1201 A6
sk-1208 A2
sk-1213 A19
sk-1221 A2
sk-1235 ?
sk-1236 A19
sk-1248 A8
sk-1249 A8
sk-1255 A15
sk-1264 A15
sk-1286 A10
sk-1287 A11
sk-1289 A4
sk-1293 A5
sk-1304 A22
sk-1306 A5
sk-1310 A8
sk-1317 ?
sk-1332 A11
sk-1354 A19
sk-1364 A19
sk-1372 A22
sk-1385 A19
sk-0005 A7
sk-0023 A7
sk-0036 A5
sk-0037 A5
sk-0039 A5
sk-0052 A6
sk-0053 ?
sk-0063 A12
sk-0088 A19
sk-0095 A11
sk-0098 A10
sk-0108 A15
sk-0122 A23
sk-0127 A8
sk-0130 A14
sk-0134 A19
sk-0160 A7
sk-0163 A9
sk-0164 A9
sk-0166 A9
sk-0180 A16
sk-0188 A7
sk-0190 A15
sk-0206 A5
sk-0208 A5
sk-0210 A11
sk-0212 A2
sk-0217 A22
sk-0219 A15
sk-0231 A5
sk-0235 A8
sk-0238 A4
sk-0254 A5
sk-0263 A22
sk-0266 A19
sk-0267 A11
sk-0270 A11
sk-0291 A15
sk-0303 A1
sk-0317 A19
sk-0335 ?
sk-0349 A19
sk-0352 A2
sk-0359 A12
sk-0384 A9
sk-0392 A14
sk-0397 A5
sk-0412 A15
sk-0414 A14
sk-0416 A21
